MJJCLBGC_00001	COG0527	[E] Aspartokinases     
MJJCLBGC_00038	COG2086	[C] Electron transfer flavoprotein, beta subunit 
MJJCLBGC_00039	COG2025	[C] Electron transfer flavoprotein, alpha subunit 
MJJCLBGC_00040	COG0644	[C] Dehydrogenases (flavoproteins)    
MJJCLBGC_00041	COG2440	[C] Ferredoxin-like protein    
MJJCLBGC_00042	ROG2472	
MJJCLBGC_00043	COG2249	[R] Putative NADPH-quinone reductase (modulator of drug
MJJCLBGC_00044	COG0475	[P] Kef-type K+ transport systems, membrane components
MJJCLBGC_00045	COG0262	[H] Dihydrofolate reductase    
MJJCLBGC_00046	COG1408	[R] Predicted phosphohydrolases    
MJJCLBGC_00047	COG2967	[P] Uncharacterized protein affecting Mg2+/Co2+ transport 
MJJCLBGC_00048	COG0030	[J] Dimethyladenosine transferase (rRNA methylation)  
MJJCLBGC_00049	COG1995	[H] Pyridoxal phosphate biosynthesis protein  
MJJCLBGC_00050	COG0760	[O] Parvulin-like peptidyl-prolyl isomerase   
MJJCLBGC_00051	COG1452	[M] Organic solvent tolerance protein OstA 
MJJCLBGC_00052	COG1076	[O] DnaJ-domain-containing proteins 1   
MJJCLBGC_00055	COG0564	[J] Pseudouridylate synthases, 23S RNA-specific  
MJJCLBGC_00056	COG0553	[KL] Superfamily II DNA/RNA helicases, SNF2 family
MJJCLBGC_00057	COG0417	[L] DNA polymerase elongation subunit (family B)
MJJCLBGC_00058	COG0235	[G] Ribulose-5-phosphate 4-epimerase and related epimerases and
MJJCLBGC_00059	COG2160	[G] L-arabinose isomerase    
MJJCLBGC_00060	COG1069	[C] Ribulose kinase    
MJJCLBGC_00061	COG2207	[K] AraC-type DNA-binding domain-containing proteins  
MJJCLBGC_00062	COG0586	[S] Uncharacterized membrane-associated protein   
MJJCLBGC_00063	COG3840	[H] ABC-type thiamine transport system, ATPase component
MJJCLBGC_00064	COG1178	[P] ABC-type Fe3+ transport system, permease component
MJJCLBGC_00065	COG4143	[H] ABC-type thiamine transport system, periplasmic component
MJJCLBGC_00066	COG4533	[R] ABC-type uncharacterized transport system, periplasmic component
MJJCLBGC_00069	COG0066	[E] 3-isopropylmalate dehydratase small subunit  
MJJCLBGC_00070	COG0065	[E] 3-isopropylmalate dehydratase large subunit  
MJJCLBGC_00071	COG0473	[CE] Isocitrate/isopropylmalate dehydrogenase    
MJJCLBGC_00072	COG0119	[E] Isopropylmalate/homocitrate/citramalate synthases    
MJJCLBGC_00073	COG0583	[K] Transcriptional regulator    
MJJCLBGC_00074	COG0028	[EH] Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate
MJJCLBGC_00075	COG0440	[E] Acetolactate synthase, small (regulatory) subunit 
MJJCLBGC_00076	COG1609	[K] Transcriptional regulators    
MJJCLBGC_00077	COG2001	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00078	COG0275	[M] Predicted S-adenosylmethionine-dependent methyltransferase involved in cell
MJJCLBGC_00079	COG3116	[D] Cell division protein   
MJJCLBGC_00080	COG0768	[M] Cell division protein FtsI/penicillin-binding protein 2
MJJCLBGC_00081	COG0769	[M] UDP-N-acetylmuramyl tripeptide synthase   
MJJCLBGC_00082	COG0770	[M] UDP-N-acetylmuramyl pentapeptide synthase   
MJJCLBGC_00083	COG0472	[M] UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase  
MJJCLBGC_00084	COG0771	[M] UDP-N-acetylmuramoylalanine-D-glutamate ligase    
MJJCLBGC_00085	COG0772	[D] Bacterial cell division membrane protein 
MJJCLBGC_00086	COG0707	[M] UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase   
MJJCLBGC_00087	COG0773	[M] UDP-N-acetylmuramate-alanine ligase    
MJJCLBGC_00088	COG1181	[M] D-alanine-D-alanine ligase and related ATP-grasp enzymes
MJJCLBGC_00089	COG1589	[M] Cell division septal protein  
MJJCLBGC_00090	COG0849	[D] Actin-like ATPase involved in cell division
MJJCLBGC_00091	COG0206	[D] Cell division GTPase   
MJJCLBGC_00092	COG0774	[M] UDP-3-O-acyl-N-acetylglucosamine deacetylase    
MJJCLBGC_00094	COG0653	[U] Preprotein translocase subunit SecA (ATPase, RNA
MJJCLBGC_00095	COG0494	[LR] NTP pyrophosphohydrolases including oxidative damage repair
MJJCLBGC_00096	COG3024	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00097	COG4582	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00098	COG0237	[H] Dephospho-CoA kinase    
MJJCLBGC_00099	COG0516	[F] IMP dehydrogenase/GMP reductase   
MJJCLBGC_00100	COG1459	[NU] Type II secretory pathway, component PulF
MJJCLBGC_00101	COG2804	[NU] Type II secretory pathway, ATPase PulE/Tfp
MJJCLBGC_00102	COG4969	[NU] Tfp pilus assembly protein, major pilin
MJJCLBGC_00103	COG0157	[H] Nicotinate-nucleotide pyrophosphorylase    
MJJCLBGC_00104	COG3023	[V] Negative regulator of beta-lactamase expression 
MJJCLBGC_00105	COG3725	[V] Membrane protein required for beta-lactamase induction
MJJCLBGC_00106	COG1113	[E] Gamma-aminobutyrate permease and related permeases 
MJJCLBGC_00107	COG2186	[K] Transcriptional regulators    
MJJCLBGC_00108	COG2609	[C] Pyruvate dehydrogenase complex, dehydrogenase (E1) component
MJJCLBGC_00109	COG0508	[C] Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2)
MJJCLBGC_00110	COG1249	[C] Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3)
MJJCLBGC_00111	ROG0224	
MJJCLBGC_00112	COG1049	[C] Aconitase B    
MJJCLBGC_00113	COG3112	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00114	COG1586	[E] S-adenosylmethionine decarboxylase    
MJJCLBGC_00115	COG0421	[E] Spermidine synthase    
MJJCLBGC_00117	COG2132	[Q] Putative multicopper oxidases   
MJJCLBGC_00118	COG4993	[G] Glucose dehydrogenase    
MJJCLBGC_00119	COG0634	[F] Hypoxanthine-guanine phosphoribosyltransferase    
MJJCLBGC_00120	COG0288	[P] Carbonic anhydrase    
MJJCLBGC_00121	COG1131	[V] ABC-type multidrug transport system, ATPase component
MJJCLBGC_00122	COG0842	[V] ABC-type multidrug transport system, permease component
MJJCLBGC_00123	COG2893	[G] Phosphotransferase system, mannose/fructose-specific component IIA 
MJJCLBGC_00124	COG0726	[G] Predicted xylanase/chitin deacetylase   
MJJCLBGC_00125	COG0853	[H] Aspartate 1-decarboxylase    
MJJCLBGC_00126	COG5464	[S] Uncharacterized conserved protein   
MJJCLBGC_00127	COG0414	[H] Panthothenate synthetase    
MJJCLBGC_00128	COG0413	[H] Ketopantoate hydroxymethyltransferase    
MJJCLBGC_00129	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_00130	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_00131	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_00132	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_00133	COG3188	[NU] P pilus assembly protein, porin PapC
MJJCLBGC_00134	COG3121	[NU] P pilus assembly protein, chaperone PapD
MJJCLBGC_00135	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_00136	COG0801	[H] 7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase     
MJJCLBGC_00137	COG0617	[J] tRNA nucleotidyltransferase/poly(A) polymerase   
MJJCLBGC_00138	COG0008	[J] Glutamyl- and glutaminyl-tRNA synthetases  
MJJCLBGC_00139	COG1734	[T] DnaK suppressor protein   
MJJCLBGC_00140	COG1489	[R] DNA-binding protein, stimulates sugar fermentation 
MJJCLBGC_00141	COG1514	[J] 2'-5' RNA ligase   
MJJCLBGC_00142	COG1643	[L] HrpA-like helicases    
MJJCLBGC_00143	COG0744	[M] Membrane carboxypeptidase (penicillin-binding protein)  
MJJCLBGC_00144	COG1629	[P] Outer membrane receptor proteins, mostly Fe
MJJCLBGC_00145	COG1120	[PH] ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components
MJJCLBGC_00146	COG0614	[P] ABC-type Fe3+-hydroxamate transport system, periplasmic component
MJJCLBGC_00147	COG0609	[P] ABC-type Fe3+-siderophore transport system, permease component
MJJCLBGC_00148	COG0001	[H] Glutamate-1-semialdehyde aminotransferase    
MJJCLBGC_00149	COG0038	[P] Chloride channel protein EriC  
MJJCLBGC_00150	COG0316	[S] Uncharacterized conserved protein   
MJJCLBGC_00151	COG2860	[S] Predicted membrane protein   
MJJCLBGC_00152	COG0614	[P] ABC-type Fe3+-hydroxamate transport system, periplasmic component
MJJCLBGC_00153	COG0775	[F] Nucleoside phosphorylase    
MJJCLBGC_00154	COG0232	[F] dGTP triphosphohydrolase    
MJJCLBGC_00155	COG0265	[O] Trypsin-like serine proteases, typically periplasmic, contain
MJJCLBGC_00156	COG3835	[KT] Sugar diacid utilization regulator  
MJJCLBGC_00157	ROG5092	
MJJCLBGC_00158	COG1408	[R] Predicted phosphohydrolases    
MJJCLBGC_00159	COG2171	[E] Tetrahydrodipicolinate N-succinyltransferase    
MJJCLBGC_00160	COG2844	[O] UTP:GlnB (protein PII) uridylyltransferase  
MJJCLBGC_00161	COG0024	[J] Methionine aminopeptidase    
MJJCLBGC_00162	COG0052	[J] Ribosomal protein S2   
MJJCLBGC_00163	COG0264	[J] Translation elongation factor Ts  
MJJCLBGC_00164	COG0528	[F] Uridylate kinase    
MJJCLBGC_00165	COG0233	[J] Ribosome recycling factor   
MJJCLBGC_00166	COG0743	[I] 1-deoxy-D-xylulose 5-phosphate reductoisomerase   
MJJCLBGC_00167	COG0020	[I] Undecaprenyl pyrophosphate synthase   
MJJCLBGC_00169	COG0575	[I] CDP-diglyceride synthetase    
MJJCLBGC_00170	COG0750	[M] Predicted membrane-associated Zn-dependent proteases 1 
MJJCLBGC_00171	COG4775	[M] Outer membrane protein/protective antigen OMA87 
MJJCLBGC_00172	COG2825	[M] Outer membrane protein   
MJJCLBGC_00173	COG1044	[M] UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase   
MJJCLBGC_00174	COG0764	[I] 3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratases  
MJJCLBGC_00175	COG1043	[M] Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase  
MJJCLBGC_00176	COG0763	[M] Lipid A disaccharide synthetase  
MJJCLBGC_00177	COG0164	[L] Ribonuclease HII    
MJJCLBGC_00178	COG0587	[L] DNA polymerase III, alpha subunit 
MJJCLBGC_00179	COG0825	[I] Acetyl-CoA carboxylase alpha subunit  
MJJCLBGC_00180	COG1982	[E] Arginine/lysine/ornithine decarboxylases    
MJJCLBGC_00181	COG0346	[E] Lactoylglutathione lyase and related lyases 
MJJCLBGC_00182	COG0037	[D] Predicted ATPase of the PP-loop superfamily
MJJCLBGC_00183	COG4568	[K] Transcriptional antiterminator    
MJJCLBGC_00185	COG4681	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00186	COG1186	[J] Protein chain release factor B 
MJJCLBGC_00187	COG3015	[MP] Uncharacterized lipoprotein NlpE involved in copper
MJJCLBGC_00188	COG0791	[M] Cell wall-associated hydrolases (invasion-associated proteins) 
MJJCLBGC_00189	COG0442	[J] Prolyl-tRNA synthetase    
MJJCLBGC_00190	COG1720	[S] Uncharacterized conserved protein   
MJJCLBGC_00191	ROG4703	
MJJCLBGC_00192	COG1464	[P] ABC-type metal ion transport system, periplasmic
MJJCLBGC_00193	COG2011	[P] ABC-type metal ion transport system, permease
MJJCLBGC_00194	COG1135	[P] ABC-type metal ion transport system, ATPase
MJJCLBGC_00195	COG0241	[E] Histidinol phosphatase and related phosphatases 
MJJCLBGC_00202	COG0656	[R] Aldo/keto reductases, related to diketogulonate reductase
MJJCLBGC_00203	COG0583	[K] Transcriptional regulator    
MJJCLBGC_00204	COG3021	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00205	COG0500	[QR] SAM-dependent methyltransferases    
MJJCLBGC_00206	COG1388	[M] FOG: LysM repeat   
MJJCLBGC_00207	COG0491	[R] Zn-dependent hydrolases, including glyoxylases  
MJJCLBGC_00208	COG0500	[QR] SAM-dependent methyltransferases    
MJJCLBGC_00209	COG0328	[L] Ribonuclease HI    
MJJCLBGC_00210	COG0847	[L] DNA polymerase III, epsilon subunit and
MJJCLBGC_00212	ROG1186	
MJJCLBGC_00215	COG0388	[R] Predicted amidohydrolase    
MJJCLBGC_00216	ROG7878	
MJJCLBGC_00217	COG1960	[I] Acyl-CoA dehydrogenases    
MJJCLBGC_00218	COG0279	[G] Phosphoheptose isomerase    
MJJCLBGC_00219	COG0121	[R] Predicted glutamine amidotransferase   
MJJCLBGC_00220	COG3034	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00221	COG3041	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00222	COG3077	[L] DNA-damage-inducible protein J   
MJJCLBGC_00223	COG0791	[M] Cell wall-associated hydrolases (invasion-associated proteins) 
MJJCLBGC_00224	COG1943	[L] Transposase and inactivated derivatives  
MJJCLBGC_00225	COG1298	[NU] Flagellar biosynthesis pathway, component FlhA 
MJJCLBGC_00226	COG1360	[N] Flagellar motor protein   
MJJCLBGC_00227	COG0389	[L] Nucleotidyltransferase/DNA polymerase involved in DNA repair
MJJCLBGC_00228	COG2161	[D] Antitoxin of toxin-antitoxin stability system 
MJJCLBGC_00230	COG0454	[KR] Histone acetyltransferase HPA2 and related acetyltransferases
MJJCLBGC_00231	COG1690	[S] Uncharacterized conserved protein   
MJJCLBGC_00232	COG1186	[J] Protein chain release factor B 
MJJCLBGC_00233	COG2195	[E] Di- and tripeptidases   
MJJCLBGC_00234	COG2236	[R] Predicted phosphoribosyltransferases    
MJJCLBGC_00235	COG0412	[Q] Dienelactone hydrolase and related enzymes 
MJJCLBGC_00236	COG1662	[L] Transposase and inactivated derivatives, IS1 family
MJJCLBGC_00237	COG3677	[L] Transposase and inactivated derivatives  
MJJCLBGC_00239	COG3203	[M] Outer membrane protein (porin)  
MJJCLBGC_00240	COG0263	[E] Glutamate 5-kinase    
MJJCLBGC_00241	COG0014	[E] Gamma-glutamyl phosphate reductase   
MJJCLBGC_00247	COG2003	[L] DNA repair proteins   
MJJCLBGC_00248	ROG6574	
MJJCLBGC_00251	COG2378	[K] Predicted transcriptional regulator   
MJJCLBGC_00252	ROG1397	
MJJCLBGC_00253	COG3596	[R] Predicted GTPase    
MJJCLBGC_00254	COG0583	[K] Transcriptional regulator    
MJJCLBGC_00255	COG2963	[L] Transposase and inactivated derivatives  
MJJCLBGC_00256	COG2826	[L] Transposase and inactivated derivatives, IS30 family
MJJCLBGC_00257	COG2801	[L] Transposase and inactivated derivatives  
MJJCLBGC_00258	COG3344	[L] Retron-type reverse transcriptase   
MJJCLBGC_00259	COG3039	[L] Transposase and inactivated derivatives, IS5 family
MJJCLBGC_00261	COG0833	[E] Amino acid transporters   
MJJCLBGC_00262	COG2040	[E] Homocysteine/selenocysteine methylase (S-methylmethionine-dependent)   
MJJCLBGC_00263	COG3842	[E] ABC-type spermidine/putrescine transport systems, ATPase components
MJJCLBGC_00264	COG1178	[P] ABC-type Fe3+ transport system, permease component
MJJCLBGC_00265	COG1662	[L] Transposase and inactivated derivatives, IS1 family
MJJCLBGC_00266	COG3677	[L] Transposase and inactivated derivatives  
MJJCLBGC_00267	COG2963	[L] Transposase and inactivated derivatives  
MJJCLBGC_00269	COG2801	[L] Transposase and inactivated derivatives  
MJJCLBGC_00270	COG0329	[EM] Dihydrodipicolinate synthase/N-acetylneuraminate lyase   
MJJCLBGC_00271	COG0129	[EG] Dihydroxyacid dehydratase/phosphogluconate dehydratase   
MJJCLBGC_00272	COG2211	[G] Na+/melibiose symporter and related transporters 
MJJCLBGC_00273	COG3507	[G] Beta-xylosidase     
MJJCLBGC_00274	COG1414	[K] Transcriptional regulator    
MJJCLBGC_00275	COG0078	[E] Ornithine carbamoyltransferase    
MJJCLBGC_00276	COG1662	[L] Transposase and inactivated derivatives, IS1 family
MJJCLBGC_00277	COG3677	[L] Transposase and inactivated derivatives  
MJJCLBGC_00278	ROG8081	
MJJCLBGC_00279	ROG3235	
MJJCLBGC_00280	COG4584	[L] Transposase and inactivated derivatives  
MJJCLBGC_00282	ROG6460	
MJJCLBGC_00284	COG0582	[L] Integrase     
MJJCLBGC_00285	COG0583	[K] Transcriptional regulator    
MJJCLBGC_00286	COG1975	[O] Xanthine and CO dehydrogenases maturation factor,
MJJCLBGC_00287	COG1529	[C] Aerobic-type carbon monoxide dehydrogenase, large subunit
MJJCLBGC_00288	COG1319	[C] Aerobic-type carbon monoxide dehydrogenase, middle subunit
MJJCLBGC_00289	COG2080	[C] Aerobic-type carbon monoxide dehydrogenase, small subunit
MJJCLBGC_00290	COG3477	[S] Predicted periplasmic/secreted protein   
MJJCLBGC_00291	ROG8001	
MJJCLBGC_00294	ROG8001	
MJJCLBGC_00296	COG2771	[K] DNA-binding HTH domain-containing proteins  
MJJCLBGC_00297	COG0257	[J] Ribosomal protein L36   
MJJCLBGC_00298	COG0254	[J] Ribosomal protein L31   
MJJCLBGC_00300	ROG3089	
MJJCLBGC_00301	COG2963	[L] Transposase and inactivated derivatives  
MJJCLBGC_00302	COG2801	[L] Transposase and inactivated derivatives  
MJJCLBGC_00303	COG2207	[K] AraC-type DNA-binding domain-containing proteins  
MJJCLBGC_00304	COG3059	[S] Predicted membrane protein   
MJJCLBGC_00305	COG1249	[C] Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3)
MJJCLBGC_00306	COG2207	[K] AraC-type DNA-binding domain-containing proteins  
MJJCLBGC_00307	COG0247	[C] Fe-S oxidoreductase    
MJJCLBGC_00308	COG1139	[C] Uncharacterized conserved protein containing a ferredoxin-like
MJJCLBGC_00309	COG1556	[S] Uncharacterized conserved protein   
MJJCLBGC_00311	COG2303	[E] Choline dehydrogenase and related flavoproteins 
MJJCLBGC_00312	COG1012	[C] NAD-dependent aldehyde dehydrogenases   
MJJCLBGC_00313	COG1309	[K] Transcriptional regulator    
MJJCLBGC_00314	COG1292	[M] Choline-glycine betaine transporter   
MJJCLBGC_00315	COG2200	[T] FOG: EAL domain   
MJJCLBGC_00316	COG0583	[K] Transcriptional regulator    
MJJCLBGC_00317	ROG2796	
MJJCLBGC_00318	COG0666	[R] FOG: Ankyrin repeat   
MJJCLBGC_00320	COG0074	[C] Succinyl-CoA synthetase, alpha subunit  
MJJCLBGC_00321	ROG1330	
MJJCLBGC_00322	ROG5454	
MJJCLBGC_00323	COG0549	[E] Carbamate kinase    
MJJCLBGC_00325	COG1064	[R] Zn-dependent alcohol dehydrogenases   
MJJCLBGC_00328	COG1280	[E] Putative threonine efflux protein  
MJJCLBGC_00329	ROG8156	
MJJCLBGC_00330	COG1221	[KT] Transcriptional regulators containing an AAA-type ATPase
MJJCLBGC_00331	COG2513	[G] PEP phosphonomutase and related enzymes 
MJJCLBGC_00333	COG0372	[C] Citrate synthase    
MJJCLBGC_00334	COG2079	[R] Uncharacterized protein involved in propionate catabolism
MJJCLBGC_00335	COG0365	[I] Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases 
MJJCLBGC_00336	COG1457	[F] Purine-cytosine permease and related proteins 
MJJCLBGC_00337	COG1574	[R] Predicted metal-dependent hydrolase with the TIM-barrel
MJJCLBGC_00338	COG0583	[K] Transcriptional regulator    
MJJCLBGC_00339	COG0288	[P] Carbonic anhydrase    
MJJCLBGC_00340	COG1513	[P] Cyanate lyase    
MJJCLBGC_00341	COG2807	[P] Cyanate permease    
MJJCLBGC_00342	COG0110	[R] Acetyltransferase (isoleucine patch superfamily)  
MJJCLBGC_00343	COG0477	[GEPR] Permeases of the major facilitator superfamily
MJJCLBGC_00344	COG3250	[G] Beta-galactosidase/beta-glucuronidase     
MJJCLBGC_00345	COG1609	[K] Transcriptional regulators    
MJJCLBGC_00346	COG1414	[K] Transcriptional regulator    
MJJCLBGC_00347	COG0654	[HC] 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
MJJCLBGC_00348	ROG7549	
MJJCLBGC_00349	COG0596	[R] Predicted hydrolases or acyltransferases (alpha/beta hydrolase
MJJCLBGC_00350	COG3971	[Q] 2-keto-4-pentenoate hydratase    
MJJCLBGC_00351	COG4569	[Q] Acetaldehyde dehydrogenase (acetylating)   
MJJCLBGC_00353	COG2814	[G] Arabinose efflux permease   
MJJCLBGC_00354	COG3122	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00355	COG0627	[R] Predicted esterase    
MJJCLBGC_00356	COG1062	[C] Zn-dependent alcohol dehydrogenases, class III 
MJJCLBGC_00357	COG1937	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00359	COG1208	[MJ] Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation
MJJCLBGC_00360	COG2963	[L] Transposase and inactivated derivatives  
MJJCLBGC_00361	COG2801	[L] Transposase and inactivated derivatives  
MJJCLBGC_00362	COG1215	[M] Glycosyltransferases, probably involved in cell wall
MJJCLBGC_00364	COG2120	[S] Uncharacterized proteins, LmbE homologs  
MJJCLBGC_00365	COG4521	[P] ABC-type taurine transport system, periplasmic component
MJJCLBGC_00366	COG4525	[P] ABC-type taurine transport system, ATPase component
MJJCLBGC_00367	COG0600	[P] ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
MJJCLBGC_00368	COG2175	[Q] Probable taurine catabolism dioxygenase  
MJJCLBGC_00369	COG0113	[H] Delta-aminolevulinic acid dehydratase   
MJJCLBGC_00371	COG2801	[L] Transposase and inactivated derivatives  
MJJCLBGC_00372	COG2963	[L] Transposase and inactivated derivatives  
MJJCLBGC_00373	COG3468	[MU] Type V secretory pathway, adhesin AidA
MJJCLBGC_00375	COG1680	[V] Beta-lactamase class C and other penicillin
MJJCLBGC_00377	COG1133	[I] ABC-type long-chain fatty acid transport system,
MJJCLBGC_00378	ROG1186	
MJJCLBGC_00379	COG3174	[S] Predicted membrane protein   
MJJCLBGC_00380	ROG0102	
MJJCLBGC_00381	COG1181	[M] D-alanine-D-alanine ligase and related ATP-grasp enzymes
MJJCLBGC_00383	COG1785	[P] Alkaline phosphatase    
MJJCLBGC_00384	ROG1291	
MJJCLBGC_00385	COG3706	[T] Response regulator containing a CheY-like receiver
MJJCLBGC_00386	COG0345	[E] Pyrroline-5-carboxylate reductase    
MJJCLBGC_00387	COG1671	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00388	COG0703	[E] Shikimate kinase    
MJJCLBGC_00390	ROG4371	
MJJCLBGC_00391	COG3123	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00392	COG2988	[E] Succinylglutamate desuccinylase    
MJJCLBGC_00393	COG2974	[L] DNA recombination-dependent growth factor C 
MJJCLBGC_00394	COG1940	[KG] Transcriptional regulator/sugar kinase   
MJJCLBGC_00395	COG2814	[G] Arabinose efflux permease   
MJJCLBGC_00396	COG0419	[L] ATPase involved in DNA repair 
MJJCLBGC_00397	COG0420	[L] DNA repair exonuclease   
MJJCLBGC_00398	COG0745	[TK] Response regulators consisting of a CheY-like
MJJCLBGC_00399	COG0642	[T] Signal transduction histidine kinase  
MJJCLBGC_00400	COG1114	[E] Branched-chain amino acid permeases  
MJJCLBGC_00401	COG1113	[E] Gamma-aminobutyrate permease and related permeases 
MJJCLBGC_00402	COG0366	[G] Glycosidases     
MJJCLBGC_00403	COG3124	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00404	COG0809	[J] S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)   
MJJCLBGC_00405	COG0343	[J] Queuine/archaeosine tRNA-ribosyltransferase    
MJJCLBGC_00406	COG1862	[U] Preprotein translocase subunit YajC  
MJJCLBGC_00407	COG0342	[U] Preprotein translocase subunit SecD  
MJJCLBGC_00408	COG0341	[U] Preprotein translocase subunit SecF  
MJJCLBGC_00409	ROG0341	
MJJCLBGC_00410	COG3248	[M] Nucleoside-binding outer membrane protein  
MJJCLBGC_00411	ROG1922	
MJJCLBGC_00412	COG1327	[K] Predicted transcriptional regulator, consists of a
MJJCLBGC_00413	COG1985	[H] Pyrimidine reductase, riboflavin biosynthesis  
MJJCLBGC_00414	COG0054	[H] Riboflavin synthase beta-chain   
MJJCLBGC_00415	COG0781	[K] Transcription termination factor   
MJJCLBGC_00416	COG0611	[H] Thiamine monophosphate kinase   
MJJCLBGC_00417	COG1267	[I] Phosphatidylglycerophosphatase A and related proteins 
MJJCLBGC_00418	COG0667	[C] Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)
MJJCLBGC_00419	COG1154	[HI] Deoxyxylulose-5-phosphate synthase    
MJJCLBGC_00420	COG0142	[H] Geranylgeranyl pyrophosphate synthase   
MJJCLBGC_00421	COG1722	[L] Exonuclease VII small subunit  
MJJCLBGC_00422	COG0301	[H] Thiamine biosynthesis ATP pyrophosphatase  
MJJCLBGC_00423	COG0693	[R] Putative intracellular protease/amidase   
MJJCLBGC_00424	COG1893	[H] Ketopantoate reductase    
MJJCLBGC_00425	COG1666	[S] Uncharacterized protein conserved in bacteria 
